transition_src,transition_dst,timestamp,body_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,hdg_x,hdg_z,transition_time,transition_entry_x,transition_entry_y,transition_entry_z,transition_prob,transition_approach,transition_time_err,transition_pos_err
45626933,49123828,1778779991.8762178,1,29.14640235900879,-2.054245710372925,-4.816854953765869,-0.5351046323776245,-0.0,0.550031304359436,0.7673795692923647,-0.0835557458271987,0.9965031045306686,,,,,0.82,0.0,,
45626933,49123828,1778779992.8762891,1,29.653209686279297,-2.0444602966308594,-8.21247386932373,1.4785131216049194,0.0,-10.0966796875,10.204358958931865,0.4747273928108694,0.8801328891224294,,,,,0.0,0.0,,
45626933,49123828,1778779994.9216335,5,27.903257369995117,-2.0710840225219727,-5.635758876800537,-4.909670829772949,-0.0,2.3062744140625,5.424368104183447,0.08161002752255037,0.9966643383846783,,,,,0.99,0.0,,
45626933,49123828,1778779995.9276173,5,28.030248641967773,-2.069049119949341,-6.782901763916016,-1.001538634300232,0.0,-1.96905517578125,2.2091305804019155,-0.8798465156722072,-0.4752579392913669,,,,,0.32,0.0,,
45626933,49123828,1778779996.93097,5,26.540197372436523,-2.064789295196533,-5.289801597595215,-1.237548828125,-0.0,0.03729248046875,1.2381105892015756,0.6207779150982508,0.7839864668004601,10.0,14.164709091186523,-2.064789295196533,-4.916876792907715,0.82,0.9997630715370178,,
45626933,49123828,1778779998.9626393,8,5.917548656463623,-2.2029008865356445,-3.4940567016601562,-0.2612555921077728,-0.0,0.124755859375,0.28951426364857696,-0.006701648332933971,-0.9999775437026682,0.0,5.917548656463623,-2.2029008865356445,-3.4940567016601562,1.0,0.0,,
45626933,49123828,1778779999.9678407,9,22.966856002807617,-2.032721519470215,-5.4885101318359375,-2.4579858779907227,-0.0,1.9540789127349854,3.140082638020434,0.031338604004163606,0.9995088253232537,,,,,0.92,0.0,,
45626933,49123828,1778779999.9678407,8,5.585153102874756,-2.20101261138916,-3.3140158653259277,0.5746536254882812,0.0,3.4349365234375,3.482673643816159,0.2226760272666931,-0.9748925001664147,0.0,5.585153102874756,-2.20101261138916,-3.3140158653259277,1.0,0.0,,
45626933,49123828,1778780000.9737628,10,22.20574951171875,-2.05537486076355,-4.684088706970215,-2.1668660640716553,0.0,-4.72067403793335,5.194234487587496,-0.0001570915600006249,-0.9999999876611207,1.0,20.038883209228516,-2.05537486076355,-9.404762268066406,0.0,-1.1762086153030396,,
45626933,49123828,1778780000.9737628,8,2.953880786895752,-2.173196792602539,-7.2047882080078125,-4.9311418533325195,0.0,-7.820068359375,9.244978589644525,-0.9089664369323447,-0.41686930389573856,0.0,2.953880786895752,-2.173196792602539,-7.2047882080078125,1.0,0.0,,
45626933,49123828,1778780001.9753253,10,21.511798858642578,-2.0578317642211914,-4.609771728515625,-1.6865171194076538,-0.0,0.34033203125,1.720513262241777,-0.005645748980603439,-0.9999840626322242,6.2,11.05539321899414,-2.0578317642211914,-2.499713182449341,0.87,1.540090799331665,,
45626933,49123828,1778780006.9966812,13,-1.2484688758850098,-2.3356268405914307,-4.041642665863037,7.1983489990234375,0.0,11.33447265625,13.427080796175343,0.020881173346154084,-0.9997819645301108,0.0,-1.2484688758850098,-2.3356268405914307,-4.041642665863037,1.0,0.0,,
45626933,49123828,1778780008.0148537,13,-2.8044824600219727,-2.377255916595459,-4.16024923324585,-0.6662936210632324,-0.0,10.553725242614746,10.574737050445899,0.0884888266280294,-0.9960771694813584,0.0,-2.8044824600219727,-2.377255916595459,-4.16024923324585,1.0,0.0,,
45626933,49123828,1778780010.0366185,14,16.500774383544922,-2.074575185775757,-4.241534233093262,2.352213144302368,0.0,-5.268256187438965,5.769525971231759,0.5083796454606633,0.8611330536457711,0.7,18.147323608398438,-2.074575185775757,-7.929313659667969,0.0,-5.083718299865723,,
45626933,49123828,1778780011.0404916,14,14.894899368286133,-2.11599063873291,-4.486466884613037,-8.435060501098633,-0.0,1.0482177734375,8.499941538489814,-0.22385201135118446,0.9746231461513877,0.2,13.207887649536133,-2.11599063873291,-4.2768235206604,0.78,7.284014701843262,,
